Product_Name,total_sales,total_profit
"Premier Automatic Letter Opener",2836.37,-427.86
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.17,-418.55
"Riverside Furniture Stanwyck Manor Table Series",917.92,-415.93
"GBC VeloBinder Electric Binding Machine",496.02,-411.33
"Chromcraft 48" x 96" Racetrack Double Pedestal Table",5098.18,-404.01
"Hon 2111 Invitation Series Corner Table",3140.55,-401.99
"Iceberg OfficeWorks 42" Round Tables",3457.44,-392.55
"LG G2",1499.97,-374.99
"Balt Split Level Computer Training Table",1040.62,-357.98
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.25,-343.1
"Jawbone MINI JAMBOX Wireless Bluetooth Speaker",2027.3,-339.71
"Fellowes Officeware Wire Shelving",4509.47,-332.37
"Lesro Round Back Collection Coffee Table, End Table",2847.78,-328.59
"Bretford Rectangular Conference Table Tops",12995.29,-327.23
"Euro Pro Shark Stick Mini Vacuum",170.74,-325.63
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",341.99,-319.19
"Ibico Hi-Tech Manual Binding System",5398.32,-304.99
"Hon Rectangular Conference Tables",3481.52,-295.82
"Sauder Barrister Bookcases",754.73,-294.77
"Okidata C610n Printer",2011.9,-292.05
"O'Sullivan Manor Hill 2-Door Library in Brianna Oak",1646.92,-285.95
"Eldon "L" Workstation Diamond Chairmat",1002.94,-267.45
"High Speed Automatic Electric Letter Opener",17030.31,-262
"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",1200.94,-256.56
"Xerox WorkCentre 6505DN Laser Multifunction Printer",2519.96,-252
"Okidata B401 Printer",179.99,-251.99
"KI Adjustable-Height Table",4552.64,-248.48
"Global Low Back Tilter Chair",1746.95,-246.39
"Catalog Binders with Expanding Posts",1089.94,-242.21
"Hon 5100 Series Wood Tables",5965.09,-238.6
"Office Star Flex Back Scooter Chair with White Frame",1775.68,-228.62
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.67,-222.74
"Safco Industrial Wire Shelving System",2511.05,-218.35
"Global Deluxe Steno Chair",1770.54,-216.31
"Balt Solid Wood Rectangular Table",828.1,-216.25
"LG Exalt",1154.33,-212.15
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.01,-208.65
"Laminate Occasional Tables",2096.17,-206.53
"Premier Elliptical Ring Binder, Black",526.61,-201.51
"High-Back Leather Manager's Chair",4770.63,-197.58
"Bevis Round Bullnose 29" High Table Top",4544.92,-192.19
"Hon 4-Shelf Metal Bookcases",1474.31,-191.86
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.88,-190.85
"Chromcraft Round Conference Tables",8209.06,-189.98
"Belkin 19" Vented Equipment Shelf, Black",1400.26,-179.67
"Hon 30" x 60" Table with Locking Drawer",1296.03,-177.35
"Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room",299.21,-177.22
"Rubbermaid ClusterMat Chairmats, Mat Size- 66" x 60", Lip 20" x 11" -90 Degree Angle",2064.23,-173.13
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,-172.94
"Epson Perfection V600 Photo Scanner",206.99,-172.49
"O'Sullivan Living Dimensions 3-Shelf Bookcases",2904.16,-170.83
"Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers",3178.13,-167.27
"Global Geo Office Task Chair, Gray",1757.27,-166.01
"Cisco 8961 IP Phone Charcoal",224.94,-164.95
"Bevis 44 x 96 Conference Tables",3253.22,-164.72
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.19,-158.49
"Global Deluxe High-Back Office Chair in Storm",1087.92,-149.59
"Hon 61000 Series Interactive Training Tables",653.12,-148.4
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.23,-143.62
"Novimex High-Tech Fabric Mesh Task Chair",922.74,-133.44
"O'Sullivan 2-Shelf Heavy-Duty Bookcases",723.84,-133.11
"Novimex Fabric Task Chair",1890.38,-131.11
"Office Star - Mesh Screen back chair with Vinyl seat",2200.46,-130.98
"Tenex Chairmats For Use with Hard Floors",467.71,-129.92
"Samsung Galaxy Note 2",4507.9,-128.8
"Safco Industrial Wire Shelving",1363.06,-126.71
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.08,-126.44
"Sauder Mission Library with Doors, Fruitwood Finish",935.2,-125.74
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.64,-125.2
"Carina Media Storage Towers in Natural & Black",1073.25,-121.96
"Belkin F9S820V06 8 Outlet Surge",266.34,-120.18
"Cisco IP Phone 7961G-GE VoIP phone",2252.43,-119.12
"Bush Birmingham Collection Bookcase, Dark Cherry",825.17,-117.88
"Hon 2111 Invitation Series Straight Table",2040.05,-115.31
"Global Leather & Oak Executive Chair, Burgundy",1689.97,-114.68
"Acco 6 Outlet Guardian Premium Plus Surge Suppressor",289.46,-113.77
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.03,-113.26
"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",1304.13,-111.33
"Carina 42"Hx23 3/4"W Media Storage Unit",1635.8,-110.13
"Tennsco Industrial Shelving",1281.44,-108.58
"Barricks 18" x 48" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,-104.83
"Safco Industrial Shelving",827.12,-104.13
"Sauder Camden County Collection Library",1368.26,-103.48
"Acco D-Ring Binder w/DublLock",235.18,-102.84
"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.38,-97.41
"Motorola HK250 Universal Bluetooth Headset",832.24,-91.5
"GBC Linen Binding Covers",207.57,-82.41
"Wilson Jones Elliptical Ring 3 1/2" Capacity Binders, 800 sheets",834.6,-82.18
"Sauder Cornerstone Collection Library",322.19,-81.17
"Global Task Chair, Black",463.1,-80.41
"O'Sullivan Living Dimensions 2-Shelf Bookcases",2970.06,-78.64
"Eldon Executive Woodline II Cherry Finish Desk Accessories",98.14,-78.51
"O'Sullivan Cherrywood Estates Traditional Barrister Bookcase",1072.34,-78.36
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82,-78.19
"Sensible Storage WireTech Storage Systems",2484.3,-78.08
"Fellowes Command Center 5-outlet power strip",664.83,-78.02
"Space Solutions Commercial Steel Shelving",1952.43,-74.35
"Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner",101.99,-71.4
"Rush Hierlooms Collection Rich Wood Bookcases",489.38,-70.83
"Sauder Forest Hills Library, Woodland Oak Finish",1875.03,-70.49
"Avery Recycled Flexi-View Covers for Binding Systems",197.17,-69.57
"Carina Mini System Audio Rack, Model AR050B",2730.11,-68.81
"GBC Plasticlear Binding Covers",68.88,-68.42
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31,-68.11
"Office Impressions End Table, 20-1/2"H x 24"W x 20"D",5801.82,-66.83
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",953.82,-63.59
"i.Sound Portable Power - 8000 mAh",413.32,-58.82
"V7 USB Numeric Keypad",461.87,-58.78
"Contico 72"H Heavy-Duty Storage System",598.31,-57.37
"Compact Automatic Electric Letter Opener",2982.75,-57.27
"Bush Somerset Collection Bookcase",1263.96,-56.32
"Fellowes Econo/Stor Drawers",581.58,-56.22
"OtterBox Commuter Series Case - Samsung Galaxy S4",384.85,-55.98
"Cisco CP-7937G Unified IP Conference Station Phone",1391.4,-55.66
"Eldon Base for stackable storage shelf, platinum",872.26,-52.57
"iOttie XL Car Mount",223.89,-50.37
"Clearsounds A400",488.33,-48.83
"Hon Deluxe Fabric Upholstered Stacking Chairs",2586.19,-48.8
"Eldon Advantage Foldable Chair Mats for Low Pile Carpets",379.4,-48.78
"Tennsco Commercial Shelving",374.26,-48.61
"SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card",329.95,-48.58
"Belkin 19" Center-Weighted Shelf, Gray",849.31,-47.18
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36" x 48"",180.46,-46.4
"Iris 3-Drawer Stacking Bin, Black",284.1,-43.45
"Eldon Cleatmat Chair Mats for Medium Pile Carpets",344.1,-42.18
"Office Star - Ergonomically Designed Knee Chair",1311.88,-42.11
"Tenex "The Solids" Textured Chair Mats",1469.16,-40.58
"36X48 HARDFLOOR CHAIRMAT",369.25,-40.49
"Insertable Tab Post Binder Dividers",66.57,-39.7
"Bevis Round Conference Room Tables and Bases",519.94,-39.44
"Mediabridge Sport Armband iPhone 5s",257.74,-38.96
"Kensington 6 Outlet SmartSocket Surge Protector",147.53,-36.88
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24" Deep, Sand",4384.04,-36.53
"Hon Comfortask Task/Swivel Chairs",1686.9,-36.47
"Rogers Deluxe File Chest",444,-34.73
"Novimex Turbo Task Chair",1341.52,-32.65
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",472.86,-32.27
"Anker Astro Mini 3000mAh Ultra-Compact Portable Charger",147.93,-31.98
"Samsung Convoy 3",688.14,-31.08
"Macally Suction Cup Mount",279.63,-31.07
"Fellowes Bankers Box Recycled Super Stor/Drawer",1187.56,-30.23
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",258.72,-27.17
"Hon Metal Bookcases, Black",1570.08,-26.97
"Tennsco Lockers, Gray",402.82,-26.43
"SAFCO Commercial Wire Shelving, 72h",1445.26,-24.5
"Anker Astro 15000mAh USB Portable Charger",599.88,-24
"GBC VeloBinder Strips",52.99,-23.81
"Avery Durable Slant Ring Binders",51.48,-23.76
"Panasonic KX MC6040 Color Laser Multifunction Printer",1619.82,-22.5
"Stiletto Hand Letter Openers",136.32,-21.98
"Plantronics Single Ear Headset",29.92,-21.94
"Global Armless Task Chair, Royal Blue",1396.44,-20.73
"Cyber Acoustics AC-202b Speech Recognition Stereo Headset",119.51,-20.52
"Texas Instrument TI-15 Fraction Calculator",41.9,-20.52
"Space Solutions Industrial Galvanized Steel Shelving.",520.08,-20.49
"3M Replacement Filter for Office Air Cleaner for 20' x 33' Room",303.36,-20.48
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.89,-20.29
"Accohide Poly Flexible Ring Binders",43.76,-19.82
"Wilson Jones Custom Binder Spines & Labels",41.34,-19.69
"Logitech Keyboard K120",174.24,-19.6
"Large Capacity Hanging Post Binders",276.94,-19.46
"GBC Wire Binding Strips",212.66,-18.41
"Speck Products Candyshell Flip Case",188.95,-18.19
"Fellowes Neat Ideas Storage Cubes",480.7,-18.19
"Anderson Hickey Conga Table Tops & Accessories",51.78,-17.51
"Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge",823.25,-17.03
"Electrix Incandescent Magnifying Lamp, Black",117.28,-16.49
"Avery Reinforcements for Hole-Punch Pages",28.51,-16.14
"Avery Durable Poly Binders",82.95,-15.59
"ARKON Windshield Dashboard Air Vent Car Mount Holder",216.96,-15.59
"Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black",467.92,-14.62
"Avery 3 1/2" Diskette Storage Pages, 10/Pack",137.81,-14.41
"Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red",63.63,-13.91
"Motorola L804",607.07,-13.34
"XtraLife ClearVue Slant-D Ring Binders by Cardinal",72.91,-13.33
"GBC ProClick Spines for 32-Hole Punch",66.41,-13.28
"Martin-Yale Premier Letter Opener",236.99,-12.88
"Fellowes Bankers Box Stor/Drawer Steel Plus",1426.31,-12.79
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,-12.69
"Cardinal Hold-It CD Pocket",38.3,-12.45
"GBC Instant Index System for Binding Systems",71.93,-12.43
"O'Sullivan 5-Shelf Heavy-Duty Bookcases",540.8,-12.29
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.11,-12.13
"Case Logic 2.4GHz Wireless Keyboard",1229.75,-12
"iOttie HLCRIO102 Car Mount",215.89,-11.99
"Gear Head AU3700S Headset",189.65,-11.95
"Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue",102.62,-11.88
"GBC Personal VeloBind Strips",156.94,-11.26
"Dana Swing-Arm Lamps",108.94,-11.21
"Avaya 5410 Digital phone",625.51,-10.88
"Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags",91.69,-10.41
"Alliance Super-Size Bands, Assorted Sizes",197.61,-10.35
"Pressboard Hanging Data Binders for Unburst Sheets",112.67,-10.14
"Shocksock Galaxy S4 Armband",63.51,-10.07
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.86,-9.94
"Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup",1023.35,-9.3
"GBC Velobind Prepunched Cover Sets, Regency Series",661.94,-9.25
"Wilson Jones 1" Hanging DublLock Ring Binders",117.74,-8.55
"Sauder Facets Collection Library, Sky Alder Finish",1427.68,-8.55
"Acco Side-Punched Conventional Columnar Pads",41.64,-7.81
"Eldon Shelf Savers Cubes and Bins",300.14,-7.68
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.75,-7.62
"Safco Commercial Shelving",483.7,-7.44
"Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors",448.9,-7.04
"Avery Hidden Tab Dividers for Binding Systems",31.59,-7.03
"Akro Stacking Bins",91.52,-6.94
"Plantronics MX500i Earset",618.48,-6.44
"Sterilite Show Offs Storage Containers",78.14,-6.34
"Tennsco Regal Shelving Units",1764.53,-6.08
"Telescoping Adjustable Floor Lamp",143.93,-6
"Acco Economy Flexible Poly Round Ring Binder",11.48,-5.74
"Revere Boxed Rubber Bands by Revere",48.01,-5.71
"UniKeep View Case Binders",28.85,-5.48
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.83,-4.92
"Acco Suede Grain Vinyl Round Ring Binder",38.64,-4.89
"Rogers Jumbo File, Granite",317.77,-4.89
"Eldon 100 Class Desk Accessories",36.4,-4.85
"Insertable Tab Indexes For Data Binders",17.49,-4.83
"Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac",1.62,-4.47
"Fellowes Black Plastic Comb Bindings",102.26,-4.42
"Serrated Blade or Curved Handle Hand Letter Openers",23.86,-4.11
"Mead 1st Gear 2" Zipper Binder, Asst. Colors",54.47,-3.89
"Sterling Rubber Bands by Alliance",19.78,-3.77
"Acco 6 Outlet Guardian Basic Surge Suppressor",38.27,-3.66
"Acme Rosewood Handle Letter Opener",43.67,-3.49
"Plymouth Boxed Rubber Bands by Plymouth",77.24,-3.3
"Carina Double Wide Media Storage Towers in Natural & Black",3028.65,-3.24
"Fellowes Twister Kit, Gray/Clear, 3/pkg",182.51,-3.22
"GBC Standard Plastic Binding Systems Combs",55.76,-2.92
"Stacking Tray, Side-Loading, Legal, Smoke",46.59,-2.87
"Super Bands, 12/Pack",33.48,-2.6
"Hoover Commercial Lightweight Upright Vacuum",18.1,-2.51
"GBC Twin Loop Wire Binding Elements, 9/16" Spine, Black",269.39,-2.28
"Avery Self-Adhesive Photo Pockets for Polaroid Photos",143.01,-2.18
"PNY Rapid USB Car Charger - Black",9.59,-2.08
"Computer Printout Index Tabs",11.09,-2.02
"Kingston Digital DataTraveler 8GB USB 2.0",44.03,-2.02
"Storex Flexible Poly Binders with Double Pockets",10.82,-2.01
"Angle-D Ring Binders",39.38,-1.97
"Penpower WorldCard Pro Card Scanner",91.48,-1.83
"Executive Impressions 14" Contract Wall Clock with Quartz Movement",97.81,-1.78
"Acme Serrated Blade Letter Opener",13.99,-1.75
"SanDisk Cruzer 8 GB USB Flash Drive",27.17,-1.36
"Executive Impressions 16-1/2" Circular Wall Clock",58.78,-1.07
"Round Ring Binders",29.95,-0.92
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2"",99.8,-0.7
"Eldon Gobal File Keepers",348.22,-0.61
"Brites Rubber Bands, 1 1/2 oz. Box",13.07,-0.51
"Rubber Band Ball",58.34,-0.3
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2" X 11"",62.95,-0.16
"Premier Electric Letter Opener",2641.61,-0
"Global Super Steno Chair",2389.9,-0
